41 97
0 38 49.513987498132
1 12 1.5889235779591
4 7 34.668124553127
18 23 39.468877385123
27 13 40.767593025587
4 37 23.41813942111
22 2 2.4318213585912
27 38 17.49463815591
8 10 45.497663992223
23 32 1.4026008552884
23 29 0.91658833013689
25 0 2.505511908096
29 7 37.173636461223
7 31 26.642513846346
35 3 17.410106848651
39 0 40.828246293044
21 2 43.260067651635
7 0 10.754705807546
16 9 23.299024730594
13 32 12.588440818986
14 39 18.23633502621
39 40 20.741846934306
28 7 7.9154833955297
35 38 34.557997241876
30 1 1.9681040672437
28 1 42.796350360288
9 4 36.056418011923
17 4 46.811123819468
33 14 20.110148526779
5 26 24.595701263564
20 25 42.832036289774
19 25 13.573883200797
6 33 21.489366596327
1 30 6.0473638149199
31 32 8.0154679054466
19 34 0.81181824245109
28 38 36.868236254374
5 2 33.679360050559
38 16 3.7895085773382
3 22 36.488097923104
24 1 17.856710412473
18 20 48.863529599674
29 27 39.208873798702
5 29 26.939415827831
10 19 16.653749470903
17 39 8.5182421880393
18 27 5.9613577816455
7 32 9.4945517645658
35 30 30.169325918038
38 34 7.3169402113729
27 17 9.0823315359104
0 35 34.184777543035
40 23 17.572433183702
31 29 3.0468245982411
12 40 27.318316966909
26 17 25.458560383627
33 35 8.7978625943874
38 1 48.275550547184
5 36 35.250432945439
30 33 26.998464379925
36 19 48.115346137488
2 20 41.433114461337
30 20 20.525652528985
3 11 6.8823269833263
6 24 6.5505016392798
28 9 27.545644402292
8 2 20.679573514815
15 40 22.820525207939
14 5 17.647859555505
2 35 8.9510851348523
24 30 33.218299845801
22 32 8.3062141008238
15 22 33.078357499595
32 26 46.743603817534
38 32 26.241368859187
2 20 38.225402142026
25 29 41.213945830806
1 4 41.16835768389
20 18 47.583189489126
34 21 40.627767141269
0 4 27.619030851693
28 27 17.639312202874
34 2 44.873388691281
21 35 26.893693500615
18 32 16.747051229117
39 35 41.75177886698
30 20 27.366436751264
23 21 32.38888749964
15 0 5.0946816127257
13 35 30.734252059243
6 35 36.30606317255
28 23 19.925461113418
2 16 23.025560296618
39 38 16.132013274418
20 15 6.1271470301445
33 14 49.561463249643
27 3 23.980606242074
